time,price,bidVolume,askVolume
2026-07-16T02:24:00.000Z,29693.75,6,12
2026-07-16T02:24:00.000Z,29694,2,18
2026-07-16T02:24:00.000Z,29694.25,0,9
2026-07-16T02:24:00.000Z,29694.5,1,13
2026-07-16T02:24:00.000Z,29694.75,15,5
2026-07-16T02:24:00.000Z,29695,9,14
2026-07-16T02:24:00.000Z,29695.25,2,8
2026-07-16T02:24:00.000Z,29695.5,0,8
2026-07-16T02:24:00.000Z,29695.75,0,3
2026-07-16T02:25:00.000Z,29688,1,0
2026-07-16T02:25:00.000Z,29688.25,9,1
2026-07-16T02:25:00.000Z,29688.5,5,3
2026-07-16T02:25:00.000Z,29688.75,19,4
2026-07-16T02:25:00.000Z,29689,10,6
2026-07-16T02:25:00.000Z,29689.25,9,3
2026-07-16T02:25:00.000Z,29689.5,8,4
2026-07-16T02:25:00.000Z,29689.75,4,5
2026-07-16T02:25:00.000Z,29690,2,3
2026-07-16T02:25:00.000Z,29690.25,4,4
2026-07-16T02:25:00.000Z,29690.5,6,4
2026-07-16T02:25:00.000Z,29690.75,19,3
2026-07-16T02:25:00.000Z,29691,10,12
2026-07-16T02:25:00.000Z,29691.25,3,11
2026-07-16T02:25:00.000Z,29691.5,3,10
2026-07-16T02:25:00.000Z,29691.75,7,1
2026-07-16T02:25:00.000Z,29692,11,7
2026-07-16T02:25:00.000Z,29692.25,9,2
2026-07-16T02:25:00.000Z,29692.5,10,4
2026-07-16T02:25:00.000Z,29692.75,8,10
2026-07-16T02:25:00.000Z,29693,14,11
2026-07-16T02:25:00.000Z,29693.25,12,17
2026-07-16T02:25:00.000Z,29693.5,31,18
2026-07-16T02:25:00.000Z,29693.75,25,17
2026-07-16T02:25:00.000Z,29694,26,26
2026-07-16T02:25:00.000Z,29694.25,18,33
2026-07-16T02:25:00.000Z,29694.5,13,30
2026-07-16T02:25:00.000Z,29694.75,33,24
2026-07-16T02:25:00.000Z,29695,21,22
2026-07-16T02:25:00.000Z,29695.25,9,29
2026-07-16T02:25:00.000Z,29695.5,13,17
2026-07-16T02:25:00.000Z,29695.75,5,32
2026-07-16T02:25:00.000Z,29696,5,17
2026-07-16T02:25:00.000Z,29696.25,1,13
2026-07-16T02:25:00.000Z,29696.5,2,15
2026-07-16T02:25:00.000Z,29696.75,7,3
2026-07-16T02:25:00.000Z,29697,7,21
2026-07-16T02:25:00.000Z,29697.25,9,15
2026-07-16T02:25:00.000Z,29697.5,9,7
2026-07-16T02:25:00.000Z,29697.75,7,6
